scrap Top 250 movie from movie.douban.com
Now begin to scrap the top 250 movies from Douban website...
Top1 肖申克的救赎
Top2 这个杀手不太冷
Top3 霸王别姬
Top4 阿甘正传
Top5 美丽人生
Top6 千与千寻
Top7 辛德勒的名单
Top8 泰坦尼克号
Top9 海上钢琴师
Top10 盗梦空间
Top11 机器人总动员
Top12 三傻大闹宝莱坞
Top13 放牛班的春天
Top14 忠犬八公的故事
Top15 大话西游之大圣娶亲
Top16 龙猫
Top17 教父
Top18 乱世佳人
Top19 楚门的世界
Top20 天堂电影院
Top21 当幸福来敲门
Top22 搏击俱乐部
Top23 触不可及
Top24 指环王3：王者无敌
Top25 十二怒汉
Top26 罗马假日
Top27 无间道
Top28 怦然心动
Top29 天空之城
Top30 熔炉
Top31 两杆大烟枪
Top32 大话西游之月光宝盒
Top33 少年派的奇幻漂流
Top34 飞屋环游记
Top35 鬼子来了
Top36 飞越疯人院
Top37 蝙蝠侠：黑暗骑士
Top38 窃听风暴
Top39 海豚湾
Top40 活着
Top41 V字仇杀队
Top42 闻香识女人
Top43 星际穿越
Top44 美丽心灵
Top45 教父2
Top46 天使爱美丽
Top47 指环王2：双塔奇兵
Top48 指环王1：魔戒再现
Top49 哈尔的移动城堡
Top50 情书
Top51 死亡诗社
Top52 美国往事
Top53 七宗罪
Top54 钢琴家
Top55 勇敢的心
Top56 狮子王
Top57 剪刀手爱德华
Top58 致命魔术
Top59 被嫌弃的松子的一生
Top60 音乐之声
Top61 小鞋子
Top62 辩护人
Top63 低俗小说
Top64 入殓师
Top65 饮食男女
Top66 蝴蝶效应
Top67 沉默的羔羊
Top68 本杰明·巴顿奇事
Top69 玛丽和马克思
Top70 黑客帝国
Top71 控方证人
Top72 拯救大兵瑞恩
Top73 西西里的美丽传说
Top74 幽灵公主
Top75 心灵捕手
Top76 第六感
Top77 阳光灿烂的日子
Top78 大鱼
Top79 让子弹飞
Top80 射雕英雄传之东成西就
Top81 素媛
Top82 阳光姐妹淘
Top83 大闹天宫
Top84 上帝之城
Top85 春光乍泄
Top86 重庆森林
Top87 禁闭岛
Top88 甜蜜蜜
Top89 致命ID
Top90 告白
Top91 萤火虫之墓
Top92 一一
Top93 加勒比海盗
Top94 爱在黎明破晓前
Top95 风之谷
Top96 阿凡达
Top97 爱在日落黄昏时
Top98 侧耳倾听
Top99 断背山
Top100 驯龙高手
Top101 布达佩斯大饭店
Top102 猫鼠游戏
Top103 海洋
Top104 狩猎
Top105 摩登时代
Top106 燃情岁月
Top107 超脱
Top108 幸福终点站
Top109 电锯惊魂
Top110 谍影重重3
Top111 神偷奶爸
Top112 菊次郎的夏天
Top113 虎口脱险
Top114 借东西的小人阿莉埃蒂
Top115 哈利·波特与魔法石
Top116 真爱至上
Top117 雨人
Top118 末代皇帝
Top119 岁月神偷
Top120 贫民窟的百万富翁
Top121 倩女幽魂
Top122 记忆碎片
Top123 疯狂原始人
Top124 东邪西毒
Top125 七武士
Top126 穿条纹睡衣的男孩
Top127 怪兽电力公司
